"","","cl_lum","cl_den"
"3265",2.512,2,1
"3266",1.518,1,3
"3267",1.337,1,3
"3268",1.735,1,3
"3269",1.488,2,3
"3270",1.674,1,2
"3271",2.104,1,2
"3272",1.406,4,3
"3273",2.183,4,3
"3274",2.485,4,2
"3275",1.513,3,3
"3276",0.8917,3,4
"3277",1.572,4,5
"3278",2.05,3,5
"3279",2.415,1,2
"3280",1.455,1,2
"3281",1.918,1,2
"3282",3.166,1,3
"3283",0.9493,1,1
"3284",1.123,1,4
"3285",2.172,1,4
"3286",1.426,1,3
"3287",2.367,2,2
"3288",1.312,1,4
"3289",1.599,1,3
"3290",2.306,3,3
"3291",2.076,2,3
"3292",1.242,3,3
"3293",2.417,3,2
"3294",2.437,3,1
"3295",1.817,3,3
"3296",2.428,3,2
"3297",2.456,2,2
"3298",2.332,2,1
"3299",2.449,2,1
"3300",1.636,4,2
"3301",1.795,4,2
"3302",1.441,3,3
"3303",2.237,4,1
"3304",1.549,3,3
"3305",1.266,4,2
"3306",2.427,4,1
"3307",2.599,1,2
"3308",2.428,2,2
"3309",1.34,1,4
"3310",2.49,2,3
"3311",1.971,2,3
"3312",2.355,4,2
"3313",1.911,4,3
"3314",1.714,3,3
"3315",2.201,3,3
"3316",2.431,4,2
"3317",1.434,2,5
"3318",1.582,2,3
"3319",2.402,3,2
"3320",2.667,3,2
"3321",2.756,3,2
"3322",1.478,2,3
"3323",1.921,4,1
"3324",2.301,4,3
"3325",1.463,3,3
"3326",1.271,4,3
"3327",1.494,3,2
"3328",1.235,1,4
"3329",2.19,4,1
"3330",1.567,4,3
"3331",2.253,4,2
"3332",1.04,1,4
"3333",2.354,3,3
"3334",2.402,3,2
"3335",2.159,3,2
"3336",2.364,3,3
"3337",2.299,3,2
"3338",1.314,1,3
"3339",1.458,2,2
"3340",1.179,4,4
"3341",1.93,4,3
"3342",1.746,4,3
"3343",1.13,2,3
"3344",1.81,3,3
"3345",2.437,4,2
"3346",1.888,1,3
"3347",2.182,4,1
"3348",2.406,4,1
"3349",1.522,1,3
"3350",1.584,4,4
"3351",2.13,4,3
"3352",1.937,4,4
"3353",2.229,4,4
"3354",2.224,3,3
"3355",2.509,4,1
"3356",2.167,1,4
"3357",1.82,2,2
"3358",2.562,2,1
"3359",1.961,4,3
"3360",2.193,4,2
"3361",2.046,5,2
"3362",2.153,5,4
"3363",2.069,5,3
"3364",1.737,5,4
"3365",2.367,5,1
"3366",2.472,4,3
"3367",2.528,5,1
"3368",1.51,5,4
"3369",2.297,5,5
"3370",2.438,4,3
"3371",1.931,4,5
"3372",2.335,4,2
"3373",2.54,5,3
"3374",2.46,1,2
"3375",2.595,5,1
"3376",1.206,4,4
"3377",2.285,3,4
"3378",1.826,3,4
"3379",1.526,3,3
"3380",2.047,1,2
"3381",1.554,2,4
"3382",2.596,2,2
"3383",2.486,1,1
"3384",1.8,2,3
"3385",1.905,1,2
"3386",1.043,3,4
"3387",1.45,1,3
"3388",2.177,2,3
"3389",1.743,2,4
"3390",1.477,1,4
"3391",1.017,1,3
"3392",1.457,3,5
"3393",2.371,1,2
"3394",2.018,3,3
"3395",1.372,2,4
"3396",2.147,3,3
"3397",1.834,3,3
"3398",2.468,1,2
"3399",2.46,2,3
"3400",2.191,4,3
"3401",2.224,4,4
"3402",1.199,4,3
"3403",1.529,4,4
"3404",1.24,2,3
"3405",1.158,3,3
"3406",1.095,4,3
"3407",2.635,3,3
"3408",2.348,3,3
"3409",2.564,3,2
"3410",2.086,5,2
"3411",2.408,4,2
"3412",1.4,3,5
"3413",1.596,2,2
"3414",2.331,3,2
"3415",1.784,4,5
"3416",2.388,1,2
"3417",2.507,2,3
"3418",1.748,4,3
"3419",2.294,2,1
"3420",1.493,3,3
"3421",2.535,3,3
"3422",2.471,4,4
"3423",2.572,3,2
"3424",2.521,2,1
"3425",1.56,2,3
"3426",2.152,2,4
"3427",2.242,2,3
"3428",2.51,3,4
"3429",2.204,3,4
"3430",1.957,3,5
"3431",1.268,3,5
"3432",0.9763,1,2
"3433",1.68,3,5
"3434",1.492,1,3
"3435",1.627,2,3
"3436",2.463,5,3
"3437",1.964,3,2
"3438",2.56,4,1
"3439",1.808,5,4
"3440",2.13,2,2
"3441",2.455,5,2
"3442",3.318,1,4
"3443",2.296,2,3
"3444",1.77,3,3
"3445",1.719,4,3
"3446",1.748,4,2
"3447",0.947,1,5
"3448",2.466,3,2
"3449",1.42,3,3
"3450",1.705,3,2
"3451",1.851,4,2
"3452",2.116,2,3
"3453",2.142,2,3
"3454",1.081,3,3
"3455",2.175,2,3
"3456",2.492,4,2
"3457",2.266,1,3
"3458",2.499,3,2
"3459",1.567,3,2
"3460",1.844,3,3
"3461",0.1224,1,5
"3462",2.109,2,3
"3463",2.23,2,3
"3464",2.573,3,1
"3465",2.196,2,2
"3466",1.407,4,2
"3467",1.801,4,2
"3468",1.957,4,3
"3469",2.422,4,2
"3470",1.569,2,3
"3471",2.362,1,4
"3472",2.144,3,3
"3473",2.575,3,1
"3474",2.035,3,3
"3475",2.186,4,3
"3476",1.661,2,3
"3477",1.531,2,2
"3478",1.128,2,3
"3479",2.098,2,3
"3480",2.192,1,3
"3481",2.499,3,3
"3482",1.402,4,4
"3483",1.898,3,3
"3484",1.853,3,3
"3485",2.552,2,2
"3486",2.485,3,1
"3487",2.154,1,1
"3488",1.385,4,4
"3489",2.193,1,2
"3490",2.602,3,2
"3491",1.491,5,4
"3492",1.355,4,4
"3493",2.16,5,4
"3494",2.336,4,5
"3495",2.275,5,2
"3496",2.724,5,4
"3497",1.957,5,5
"3498",2.232,4,3
"3499",2.228,4,4
"3500",2.441,5,3
"3501",2.229,4,2
"3502",1.585,4,3
"3503",1.668,5,4
"3504",2.499,4,3
"3505",1.657,3,3
"3506",2.153,4,2
"3507",2.172,2,3
"3508",2.556,5,3
"3509",1.577,3,5
"3510",1.749,3,3
"3511",1.277,3,4
"3512",1.789,4,2
"3513",2.324,2,3
"3514",2.342,2,2
"3515",1.315,2,4
"3516",1.181,2,3
"3517",1.493,3,4
"3518",1.712,1,2
"3519",2.438,1,3
"3520",1.469,1,3
"3521",1.71,2,4
"3522",1.533,2,1
"3523",1.342,2,4
"3524",2.426,2,3
"3525",2.539,1,2
"3526",1.445,1,4
"3527",2.352,4,2
"3528",1.879,2,2
"3529",2.436,2,2
"3530",2.11,1,3
"3531",1.526,4,3
"3532",2.229,3,3
"3533",2.184,3,4
"3534",2.228,4,3
"3535",2.472,3,1
"3536",1.255,2,3
"3537",2.44,4,2
"3538",2.629,4,1
"3539",1.427,2,2
"3540",2.361,4,1
"3541",2.274,4,2
"3542",2.453,2,2
"3543",1.898,1,3
"3544",1.475,2,4
"3545",1.652,1,3
"3546",1.87,3,2
"3547",1.986,1,2
"3548",1.198,2,4
"3549",2.44,2,2
"3550",2.125,3,2
"3551",1.543,3,4
"3552",2.38,3,3
"3553",2.106,4,2
"3554",1.532,5,3
"3555",1.803,5,2
"3556",2.007,3,3
"3557",2.286,4,2
"3558",2.358,4,3
"3559",1.453,1,3
"3560",2.195,4,1
"3561",1.283,1,4
"3562",2.187,3,1
"3563",2.308,4,1
"3564",1.456,3,3
"3565",2.247,5,3
"3566",1.463,1,5
"3567",1.598,3,3
"3568",1.398,2,3
"3569",2.194,1,4
"3570",2.131,1,3
"3571",1.646,1,4
"3572",1.678,3,3
"3573",1.974,3,3
"3574",1.312,2,4
"3575",1.584,2,3
"3576",1.375,3,3
"3577",2.534,2,2
"3578",2.069,2,3
"3579",1.648,2,4
"3580",1.413,2,3
"3581",2.482,2,2
"3582",1.882,2,1
"3583",1.618,1,3
"3584",1.505,2,3
"3585",1.317,1,3
"3586",2.366,1,3
"3587",1.312,1,4
"3588",1.211,2,4
"3589",1.111,2,5
"3590",1.303,2,5
"3591",2.48,2,1
"3592",1.352,2,5
"3593",2.284,2,2
"3594",1.637,2,5
"3595",1.438,3,5
"3596",1.875,2,5
"3597",2.256,2,4
"3598",2.416,2,2
"3599",1.558,3,3
"3600",1.69,1,3
"3601",2.432,3,2
"3602",2.254,1,2
"3603",1.219,2,5
"3604",1.425,2,4
"3605",1.156,1,4
"3606",1.505,3,4
"3607",1.865,3,4
"3608",2.108,3,2
"3609",1.461,2,5
"3610",2.174,3,2
"3611",2.042,3,3
"3612",2.447,3,2
"3613",2.416,3,1
"3614",1.321,4,4
"3615",1.194,2,3
"3616",2.487,3,2
"3617",2.55,3,2
"3618",2.372,4,3
"3619",2.449,3,3
"3620",2.027,2,3
"3621",1.039,2,4
"3622",1.61,2,4
"3623",2.094,1,2
"3624",1.295,1,4
"3625",1.977,1,2
"3626",1.314,3,3
"3627",1.354,1,3
"3628",1.628,2,3
"3629",2.246,1,3
"3630",1.637,3,3
"3631",1.638,2,2
"3632",0.8693,2,5
"3633",2.31,1,3
"3634",1.635,3,3
"3635",2.284,2,2
"3636",1.308,2,5
"3637",2.009,2,3
"3638",2.263,3,2
"3639",1.62,1,3
"3640",2.453,4,2
"3641",2.848,4,3
"3642",2.643,4,3
"3643",1.51,2,4
"3644",2.549,3,3
"3645",1.863,2,2
"3646",1.957,2,3
"3647",1.159,1,4
"3648",2.311,3,2
"3649",2.623,3,2
"3650",2.299,3,2
"3651",2.412,3,3
"3652",1.369,3,3
"3653",1.036,3,5
"3654",1.522,2,3
"3655",2.282,3,2
"3656",2.423,3,2
"3657",2.357,2,3
"3658",2.379,3,4
"3659",2.513,2,2
"3660",1.069,1,5
"3661",2.091,2,3
"3662",1.5,1,3
"3663",1.345,2,3
"3664",2.228,3,4
"3665",2.173,1,4
"3666",1.113,4,5
"3667",2.343,4,2
"3668",2.29,4,4
"3669",2.589,1,2
"3670",1.693,3,4
"3671",1.277,4,5
"3672",2.491,4,3
"3673",1.725,1,3
"3674",2.451,3,5
"3675",1.414,4,5
"3676",2.173,4,3
"3677",2.546,1,3
"3678",0.9399,1,3
"3679",1.056,3,5
"3680",1.799,1,2
"3681",1.818,1,2
"3682",2.014,3,2
"3683",2.059,3,2
"3684",1.414,3,2
"3685",1.804,2,2
"3686",1.823,2,2
"3687",1.527,2,3
"3688",2.405,1,3
"3689",2.325,2,2
"3690",2.325,2,3
"3691",2.265,2,2
"3692",2.381,3,2
"3693",1.318,3,4
"3694",1.247,1,4
"3695",2.42,2,2
"3696",1.997,3,1
"3697",1.956,2,3
"3698",1.821,1,3
"3699",2.191,4,4
"3700",1.955,2,2
"3701",2.357,4,3
"3702",2.494,3,3
"3703",2.05,4,3
"3704",2.543,4,2
"3705",2.235,2,3
"3706",1.545,4,3
"3707",2.562,4,3
"3708",2.367,4,3
"3709",2.449,4,4
"3710",2.426,4,3
"3711",1.906,5,4
"3712",1.333,4,3
"3713",2.42,4,3
"3714",2.449,4,3
"3715",2.135,4,4
"3716",2.348,4,3
"3717",2.179,4,4
"3718",1.079,4,4
"3719",1.34,4,3
"3720",1.367,3,3
"3721",1.719,3,4
"3722",1.793,4,2
"3723",2.424,4,2
"3724",1.935,4,3
"3725",2.158,2,3
"3726",1.575,2,4
"3727",1.762,3,4
"3728",2.26,4,3
"3729",2.25,2,4
"3730",2.512,5,3
"3731",2.285,5,4
"3732",2.301,4,2
"3733",1.943,3,3
"3734",2.556,2,2
"3735",2.577,4,1
"3736",2.46,4,2
"3737",1.69,2,5
"3738",2.373,4,2
"3739",2.346,2,4
"3740",2.415,5,3
"3741",2.378,5,3
"3742",2.369,5,3
"3743",2.373,5,3
"3744",2.498,5,3
"3745",2.425,5,3
"3746",2.559,5,2
"3747",2.16,3,3
"3748",2.155,2,3
"3749",2.184,4,5
"3750",2.46,4,1
"3751",0.4418,3,4
"3752",1.314,1,4
"3753",2.449,2,2
"3754",1.084,1,5
"3755",2.348,5,2
"3756",2.695,4,2
"3757",1.959,5,1
"3758",2.363,4,3
"3759",1.202,3,4
"3760",2.315,5,3
"3761",1.529,2,3
"3762",2.328,4,3
"3763",1.99,1,3
"3764",1.8,3,4
"3765",1.501,2,4
"3766",2.385,3,3
"3767",2.728,3,1
"3768",1.461,1,3
"3769",2.348,2,3
"3770",1.132,3,3
"3771",2.397,3,3
"3772",1.476,3,3
"3773",2.217,3,1
"3774",2.388,3,2
"3775",2.064,3,3
"3776",2.618,3,4
"3777",1.96,3,2
"3778",2.39,3,2
"3779",2.039,3,1
"3780",1.015,1,5
"3781",1.542,2,3
"3782",1.682,1,3
"3783",1.499,4,3
"3784",1.744,5,1
"3785",2.299,1,2
"3786",2.532,4,3
"3787",1.888,4,3
"3788",2.243,2,4
"3789",1.968,3,3
"3790",2.473,3,2
"3791",2.308,4,3
"3792",2.291,3,2
"3793",2.135,2,1
"3794",2.256,4,3
"3795",2.355,4,2
"3796",2.504,3,1
"3797",2.499,2,5
"3798",2.43,3,2
"3799",1.07,1,4
"3800",2.281,4,3
"3801",2.039,4,3
"3802",1.866,1,3
"3803",2.255,2,4
"3804",0.9524,1,3
"3805",2.128,2,3
"3806",2.073,2,1
"3807",1.714,3,3
"3808",2.136,3,3
"3809",1.707,2,2
"3810",2.288,3,2
"3811",2.398,1,2
"3812",1.584,3,3
"3813",2.346,3,2
"3814",1.686,3,3
"3815",2.336,3,4
"3816",2.411,3,3
"3817",2.423,2,2
"3818",0.7316,2,4
"3819",1.754,1,3
"3820",1.755,2,3
"3821",2.196,1,3
"3822",2.165,2,2
"3823",1.481,2,4
"3824",2.397,3,1
"3825",2.121,2,2
"3826",1.838,1,3
"3827",1.629,1,3
"3828",2.462,4,1
"3829",2.466,4,3
"3830",2.278,4,2
"3831",2.626,4,2
"3832",1.38,2,4
"3833",1.991,4,3
"3834",1.338,1,3
"3835",2.535,5,3
"3836",2.342,5,3
"3837",2.629,5,2
"3838",2.029,5,4
"3839",2.304,5,3
"3840",2.402,5,3
"3841",2.375,5,3
"3842",2.256,5,4
"3843",2.121,5,5
"3844",2.359,5,4
"3845",2.425,5,2
"3846",2.204,5,4
"3847",2.362,5,3
"3848",2.102,2,4
"3849",2.311,4,4
"3850",2.404,5,3
"3851",2.56,5,3
"3852",2.285,5,3
"3853",2.537,5,3
"3854",2.366,5,3
"3855",2.592,5,2
"3856",2.382,5,3
"3857",2.291,5,4
"3858",2.408,5,3
"3859",1.986,5,2
"3860",2.071,5,4
"3861",2.502,5,4
"3862",2.423,5,3
"3863",2.373,5,3
"3864",1.085,4,4
"3865",1.416,2,4
"3866",1.953,2,3
"3867",2.658,5,2
"3868",1.06,2,5
"3869",2.405,5,3
"3870",2.437,5,3
"3871",2.598,5,3
"3872",2.389,5,3
"3873",1.555,5,4
"3874",1.102,4,4
"3875",2.49,5,2
"3876",2.502,5,3
"3877",2.26,5,4
"3878",2.623,5,3
"3879",2.489,5,4
"3880",2.291,4,4
"3881",2.264,2,3
"3882",2.451,4,3
"3883",2.403,3,4
"3884",1.874,2,2
"3885",2.273,3,1
"3886",1.489,2,3
"3887",2.52,2,1
"3888",2.08,2,3
"3889",2.029,2,2
"3890",1.998,3,2
"3891",1.076,4,4
"3892",2,3,1
"3893",2.371,4,3
"3894",1.496,1,4
"3895",1.278,4,3
"3896",2.09,5,2
"3897",2.347,3,3
"3898",2.027,5,2
"3899",1.944,1,3
"3900",2.402,4,2
"3901",1.777,2,2
"3902",1.495,3,4
"3903",2.14,5,3
"3904",1.888,5,3
"3905",2.462,5,3
"3906",1.485,3,4
"3907",2.389,3,2
"3908",2.369,5,1
"3909",1.957,5,1
"3910",2.569,5,3
"3911",1.4,3,3
"3912",1.228,5,3
"3913",1.239,3,3
"3914",2.399,5,2
"3915",1.723,4,3
"3916",1.562,5,2
"3917",2.367,5,3
"3918",2.481,5,1
"3919",1.44,5,3
"3920",2.336,5,2
"3921",1.41,5,3
"3922",1.432,2,3
"3923",2.319,4,3
"3924",1.242,5,3
"3925",2.088,3,1
"3926",1.762,3,3
"3927",2.41,5,4
"3928",1.451,2,4
"3929",1.538,2,3
"3930",2.305,2,4
"3931",1.369,2,3
"3932",2.078,1,3
"3933",2.409,5,3
"3934",2.296,5,3
"3935",1.708,1,3
"3936",0.8445,1,5
"3937",2.344,3,2
"3938",1.824,3,2
"3939",2.079,3,2
"3940",2.593,3,1
"3941",1.244,1,5
"3942",2.599,4,2
"3943",2.435,4,2
"3944",2.465,4,3
"3945",2.22,3,2
"3946",2.233,4,3
"3947",2.49,3,1
"3948",2.534,3,2
"3949",1.691,3,4
"3950",1.669,3,2
"3951",2.022,3,3
"3952",2.378,3,3
"3953",1.364,3,3
"3954",2.276,2,3
"3955",2.262,2,3
"3956",1.219,1,3
"3957",2.512,2,2
"3958",2.418,2,3
"3959",1.527,2,4
"3960",2.39,3,3
"3961",2.189,3,4
"3962",1.435,2,4
"3963",2.596,3,2
"3964",2.541,3,2
"3965",1.662,1,3
"3966",2.472,3,1
"3967",1.848,3,3
"3968",1.818,2,2
"3969",1.103,3,5
"3970",2.103,3,3
"3971",2.527,3,4
"3972",1.259,2,3
"3973",1.371,3,3
"3974",2.214,4,4
"3975",1.434,3,4
"3976",2.1,3,1
"3977",1.144,4,4
"3978",2.069,4,3
"3979",1.495,4,4
"3980",2.343,4,2
"3981",1.506,4,4
"3982",1.013,4,4
"3983",3.881,3,1
"3984",2.253,2,3
"3985",1.9,3,2
"3986",2.187,4,3
"3987",1.977,4,4
"3988",2.316,4,4
"3989",2.104,4,3
"3990",1.613,4,4
"3991",2.556,4,2
"3992",2.186,4,4
"3993",2.259,2,2
"3994",1.99,3,3
"3995",2.021,4,4
"3996",2.609,4,1
"3997",1.858,4,3
"3998",2.055,2,2
"3999",1.59,4,3
"4000",2.511,4,3
"4001",2.153,3,3
"4002",2.402,4,2
"4003",1.217,3,4
"4004",1.836,5,4
"4005",1.066,4,5
"4006",1.498,4,3
"4007",1.838,5,4
"4008",1.342,3,5
"4009",2.284,5,3
"4010",2.57,3,3
"4011",2.302,5,4
"4012",2.438,4,3
"4013",1.01,3,3
"4014",1.172,1,3
"4015",1.243,5,4
"4016",2.567,4,1
"4017",2.454,5,3
"4018",2.423,4,3
"4019",2.572,2,2
"4020",2.142,4,3
"4021",2.216,2,4
"4022",2.563,4,1
"4023",1.664,2,5
"4024",1.995,3,3
"4025",3.522,2,1
"4026",1.92,3,4
"4027",2.048,2,4
"4028",2.42,3,3
"4029",1.299,3,3
"4030",2.245,4,3
"4031",2.22,2,2
"4032",1.438,4,3
"4033",2.488,3,1
"4034",1.425,4,3
"4035",1.921,4,3
"4036",1.349,3,3
"4037",1.254,4,4
"4038",1.471,1,3
"4039",1.427,5,3
"4040",2.585,2,5
"4041",2.316,2,5
"4042",1.785,3,3
"4043",0.1332,3,5
"4044",1.889,2,3
"4045",1.413,3,3
"4046",1.646,4,4
"4047",2.312,5,3
"4048",1.552,4,3
"4049",1.718,1,3
"4050",2.448,3,2
"4051",0.8889,3,5
"4052",2.37,2,1
"4053",2.549,2,2
"4054",1.781,3,3
"4055",2.268,3,5
"4056",1.274,3,4
"4057",2.473,3,2
"4058",1.964,4,5
"4059",2.382,3,3
"4060",2.618,3,3
"4061",2.415,2,3
"4062",1.839,1,2
"4063",1.96,3,4
"4064",2.587,3,1
"4065",1.796,4,5
"4066",1.978,4,5
"4067",1.427,4,5
"4068",2.21,3,4
"4069",1.805,3,2
"4070",2.274,4,3
"4071",2.497,2,2
"4072",2.042,2,3
"4073",2.478,2,1
"4074",2.427,3,2
"4075",2.272,2,3
"4076",1.391,3,4
"4077",1.671,3,3
"4078",2.388,2,3
"4079",2.548,3,1
"4080",1.557,2,4
"4081",1.512,2,3
"4082",2.505,2,3
"4083",1.684,2,2
"4084",1.662,3,3
"4085",2.493,3,2
"4086",1.891,2,5
"4087",2.366,2,3
"4088",2.075,2,3
"4089",2.037,2,3
"4090",1.472,2,4
"4091",1.438,2,3
"4092",1.343,2,3
"4093",1.806,2,2
"4094",2.528,3,1
"4095",2.445,3,1
"4096",2.094,3,2
"4097",1.572,3,4
"4098",2.347,1,2
"4099",2.6,5,1
"4100",1.321,3,4
"4101",2.377,5,1
"4102",1.957,5,3
"4103",2.259,3,2
"4104",1.8,3,2
"4105",1.206,1,4
"4106",2.385,4,3
"4107",2.648,4,3
"4108",1.199,4,4
"4109",2.464,3,3
"4110",2.497,4,3
"4111",2.446,5,2
"4112",2.63,3,2
"4113",1.563,3,4
"4114",1.592,3,4
"4115",1.529,2,3
"4116",1.39,3,5
"4117",1.184,3,4
"4118",2.314,5,3
"4119",1.183,3,5
"4120",2.585,5,1
"4121",2.411,3,2
"4122",2.416,3,3
"4123",2.39,3,3
"4124",2.397,5,3
"4125",1.721,1,4
"4126",2.622,4,1
"4127",1.111,4,3
"4128",2.419,3,3
"4129",2.267,4,2
"4130",1.555,5,4
"4131",2.052,4,3
"4132",2.003,4,3
"4133",2.561,5,2
"4134",2.093,4,3
"4135",2.395,5,3
"4136",1.955,4,3
"4137",1.89,4,3
"4138",2.054,5,2
"4139",2.273,5,3
"4140",2.148,1,4
"4141",2.1,3,2
"4142",2.421,4,3
"4143",2.493,5,4
"4144",1.427,3,4
"4145",1.404,3,4
"4146",1.126,1,4
"4147",2.476,3,3
"4148",2.052,3,2
"4149",1.777,3,3
"4150",1.713,2,3
"4151",2.126,3,3
"4152",1.751,1,3
"4153",1.779,3,2
"4154",2.349,3,3
"4155",2.445,1,2
"4156",3.458,3,1
"4157",2.308,3,3
"4158",1.648,3,3
"4159",1.498,3,2
"4160",1.464,4,5
"4161",2.348,1,2
"4162",1.633,3,3
"4163",1.507,1,4
"4164",2.298,4,1
"4165",1.582,4,5
"4166",1.334,4,5
"4167",2.525,4,2
"4168",3.189,4,1
"4169",2.162,3,4
"4170",2.507,3,3
"4171",1.516,3,4
"4172",2.392,5,2
"4173",2.128,5,3
"4174",2.425,5,2
"4175",2.441,3,2
"4176",1.462,3,5
"4177",1.52,3,3
"4178",1.217,1,4
"4179",1.7,4,4
"4180",1.368,4,4
"4181",2.603,4,2
"4182",1.286,3,4
"4183",1.55,4,2
"4184",1.026,3,4
"4185",1.279,4,4
"4186",1.507,3,3
"4187",1.727,3,3
"4188",1.328,4,4
"4189",1.203,4,4
"4190",2.376,2,3
"4191",1.733,4,4
"4192",1.734,4,4
"4193",2.431,4,3
"4194",1.879,4,4
"4195",1.473,4,4
"4196",2.032,3,3
"4197",1.762,2,3
"4198",2.002,2,3
"4199",1.745,2,2
"4200",2.623,4,1
"4201",1.978,2,3
"4202",1.613,3,3
"4203",1.718,3,3
"4204",2.322,1,2
"4205",2.452,1,2
"4206",1.234,2,4
"4207",1.689,1,1
"4208",2.531,1,3
"4209",1.909,2,4
"4210",2.15,3,2
"4211",2.099,2,3
"4212",1.612,1,3
"4213",2.379,2,2
"4214",2.37,2,3
"4215",1.678,2,2
"4216",1.564,2,2
"4217",1.712,3,4
"4218",2.387,2,3
"4219",1.592,2,3
"4220",2.394,3,5
"4221",2.162,3,3
"4222",1.874,3,4
"4223",1.718,3,5
"4224",1.83,3,5
"4225",2.059,5,4
"4226",1.175,3,3
"4227",1.838,2,3
"4228",2.499,2,3
"4229",1.433,3,3
"4230",2.231,1,4
"4231",2.488,5,2
"4232",2.832,3,1
"4233",2.342,5,3
"4234",2.405,5,3
"4235",1.807,5,3
"4236",2.456,5,2
"4237",0.9725,3,5
"4238",1.348,3,5
"4239",2.322,2,3
"4240",1.009,2,3
"4241",2.303,5,3
"4242",1.37,2,5
"4243",2.418,5,3
"4244",2.506,5,3
"4245",2.575,5,2
"4246",2.352,3,3
"4247",1.867,1,5
"4248",2.306,4,3
"4249",1.482,3,3
"4250",2.484,3,3
"4251",1.275,3,4
"4252",0.9844,2,4
"4253",0.6871,2,5
"4254",2.395,3,2
"4255",1.386,4,3
"4256",2.468,4,3
"4257",2.527,4,1
"4258",2.196,4,3
"4259",2.546,4,1
"4260",1.192,2,5
"4261",2.137,2,2
"4262",2.338,5,2
"4263",2.166,3,2
"4264",1.576,4,4
"4265",1.442,5,4
"4266",2.607,3,1
"4267",2.641,3,2
"4268",2.034,4,4
"4269",1.401,2,3
"4270",1.653,3,4
"4271",2.336,3,2
"4272",1.698,2,2
"4273",1.272,4,5
"4274",1.567,3,2
"4275",2.55,2,2
"4276",2.254,4,4
"4277",1.938,2,5
"4278",1.423,2,5
"4279",1.749,3,3
"4280",0.7429,4,5
"4281",2.378,3,2
"4282",1.868,4,3
"4283",0.607,4,5
"4284",1.233,4,4
"4285",0.8734,1,3
"4286",1.285,3,3
"4287",1.772,4,2
"4288",2.537,3,1
"4289",1.444,4,3
"4290",2.287,4,2
"4291",1.642,3,4
"4292",1.48,3,3
"4293",1.321,3,4
"4294",2.275,4,3
"4295",1.46,3,4
"4296",2.06,4,2
"4297",2.196,3,3
"4298",2.4,2,2
"4299",1.875,2,3
"4300",1.676,3,4
"4301",2.085,1,2
"4302",2.329,2,3
"4303",1.558,2,3
"4304",1.859,3,4
"4305",2.476,2,2
"4306",2.438,2,2
"4307",2.083,3,3
"4308",2.613,2,3
"4309",2.256,1,3
"4310",2.27,2,2
"4311",2.4,2,3
"4312",2.783,3,1
"4313",2.712,3,4
"4314",2.247,2,3
"4315",1.558,2,4
"4316",1.599,1,3
"4317",2.463,2,3
"4318",2.707,3,2
"4319",1.858,2,2
"4320",2.244,2,2
"4321",2.488,3,3
"4322",2.381,3,2
"4323",1.344,2,3
"4324",2.519,2,2
"4325",2.274,2,2
"4326",1.305,2,3
"4327",2.526,1,3
"4328",1.459,1,3
"4329",2.401,4,2
"4330",1.457,2,4
"4331",1.955,2,3
"4332",0.3533,2,4
"4333",2.495,2,4
"4334",1.24,2,4
"4335",1.57,1,3
"4336",1.512,2,3
"4337",2.651,2,1
"4338",2.451,2,3
"4339",2.14,2,4
"4340",1.51,1,3
"4341",1.548,2,3
"4342",1.428,1,3
"4343",2.139,2,3
"4344",2.598,2,2
"4345",1.267,2,3
"4346",1.319,2,5
"4347",1.599,3,5
"4348",1.665,3,3
"4349",2.237,2,3
"4350",0.8774,2,3
"4351",1.238,3,5
"4352",2.513,3,2
"4353",2.479,1,2
"4354",1.987,4,3
"4355",2.492,4,4
"4356",2.335,2,3
"4357",0.4959,4,4
"4358",2.167,3,3
"4359",1.808,2,3
"4360",1.551,2,2
"4361",2.309,3,3
"4362",1.78,4,5
"4363",1.923,3,2
"4364",2.652,3,1
"4365",2.16,3,2
"4366",1.035,5,4
"4367",1.673,3,3
"4368",1.878,3,2
"4369",1.079,3,4
"4370",1.515,3,5
"4371",2.501,3,2
"4372",1.942,3,2
"4373",1.552,4,3
"4374",1.726,4,3
"4375",2.157,3,2
"4376",2.146,3,3
"4377",2.171,2,2
"4378",2.445,2,1
"4379",1.272,1,4
"4380",2.317,3,3
"4381",3.074,2,2
"4382",1.387,4,3
"4383",2.471,1,3
"4384",1.87,1,4
"4385",1.315,2,4
"4386",2.238,1,4
"4387",1.753,1,3
"4388",1.645,1,3
"4389",2.313,2,2
"4390",1.991,1,2
"4391",0.2095,1,5
"4392",1.193,2,4
"4393",2.341,1,2
"4394",1.53,1,2
"4395",1.829,2,3
"4396",2.258,2,2
"4397",1.323,2,4
"4398",1.472,2,2
"4399",1.481,2,4
"4400",2.344,1,2
"4401",1.559,2,4
"4402",2.181,1,3
"4403",2.407,1,2
"4404",1.461,3,5
"4405",1.991,1,2
"4406",2.358,1,3
"4407",1.313,1,3
"4408",1.709,2,2
"4409",2.358,2,2
"4410",1.879,1,3
"4411",1.998,1,3
"4412",2.093,2,1
"4413",1.424,1,5
"4414",1.654,3,4
"4415",2.533,4,2
"4416",1.544,1,3
"4417",1.858,2,3
"4418",2.449,1,3
"4419",2.356,3,3
"4420",2.223,1,2
"4421",1.431,1,3
"4422",2.436,1,2
"4423",1.041,1,4
"4424",2.399,2,4
"4425",2.194,2,2
"4426",2.456,1,3
"4427",1.554,1,3
