"","","cl_lum","cl_den"
"290",2.584,5,3
"291",2.188,3,3
"292",2.388,4,2
"293",1.78,4,3
"294",2.329,2,2
"295",1.788,5,3
"296",2.307,4,2
"297",2.418,4,3
"298",1.754,2,2
"299",2.027,3,3
"300",1.396,2,4
"301",1.274,4,3
"302",1.525,3,3
"303",1.517,4,4
"304",1.815,2,4
"305",2.369,3,3
"306",1.838,3,2
"307",2.441,4,2
"308",2.155,4,4
"309",2.324,4,2
"310",1.93,4,3
"311",1.953,3,3
"312",1.839,4,3
"313",1.781,3,4
"314",2.402,3,3
"315",1.752,3,3
"316",1.429,3,3
"317",2.369,3,2
"318",1.525,3,3
"319",1.463,3,3
"320",1.437,4,3
"321",2.583,4,3
"322",2.335,3,2
"323",1.454,3,5
"324",2.09,5,3
"325",2.509,2,3
"326",1.685,4,3
"327",2.584,4,2
"328",1.947,4,3
"329",2.361,5,1
"330",2.591,4,2
"331",1.5,4,3
"332",2.442,5,1
"333",1.092,2,4
"334",2.101,4,4
"335",2.56,4,2
"336",1.667,3,4
"337",2.368,4,2
"338",2.281,4,3
"339",1.483,2,3
"340",2.271,4,4
"341",0.7661,3,4
"342",1.377,4,3
"343",2.506,4,2
"344",2.097,4,3
"345",1.339,2,3
"346",2.007,3,5
"347",1.405,4,4
"348",2.296,4,3
"349",1.928,4,4
"350",1.801,4,3
"351",2.183,4,3
"352",2.466,3,3
"353",1.552,2,4
"354",1.391,2,3
"355",1.273,2,3
"356",2.364,3,3
"357",1.447,2,3
"358",1.43,4,3
"359",2.197,5,3
"360",1.423,5,4
"361",1.964,5,3
"362",2.31,5,3
"363",1.256,1,3
"364",2.396,2,2
"365",1.708,2,2
"366",1.405,3,3
"367",1.505,3,3
"368",1.534,3,4
"369",1.46,1,3
"370",1.403,3,3
"371",1.529,4,3
"372",2.24,2,3
"373",1.314,3,5
"374",1.254,1,4
"375",1.264,2,3
"376",2.394,2,2
"377",2.294,2,3
"378",2.38,2,2
"379",1.474,2,2
"380",0.9201,1,4
"381",2.161,1,2
"382",2.458,1,4
"383",1.893,1,3
"384",2.809,2,4
"385",1.599,1,3
"386",2.673,2,3
"387",2.666,2,2
"388",1.662,2,4
"389",2.549,2,1
"390",2.368,2,4
"391",2.136,1,3
"392",1.501,1,3
"393",1.61,1,3
"394",1.93,2,4
"395",2.091,1,3
"396",1.396,2,4
"397",2.488,3,3
"398",1.029,3,5
"399",1.753,1,3
"400",1.698,3,4
"401",1.699,1,3
"402",1.658,3,5
"403",1.867,1,4
"404",2.398,1,3
"405",2.469,3,1
"406",1.358,1,3
"407",1.407,3,3
"408",2.374,2,3
"409",2.297,2,2
"410",2.407,2,1
"411",1.192,2,3
"412",2.291,3,2
"413",2.601,4,2
"414",1.098,2,4
